UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,Id,DEST_AIRPORT_ID,Target,MONTH
Empire Airlines Inc.,10140,ABQ,11413,DRO,3
Empire Airlines Inc.,10194,AFW,12278,ICT,3
Empire Airlines Inc.,10299,ANC,10299,ANC,3
Empire Airlines Inc.,10666,BLI,11762,FRD,3
Empire Airlines Inc.,11050,CLM,14747,SEA,3
Empire Airlines Inc.,11198,CVO,14057,PDX,3
Empire Airlines Inc.,11413,DRO,10140,ABQ,3
Empire Airlines Inc.,11470,EAT,11884,GEG,3
Empire Airlines Inc.,11555,ENA,10299,ANC,3
Empire Airlines Inc.,11588,ESD,10666,BLI,3
Empire Airlines Inc.,11603,EUG,14057,PDX,3
Empire Airlines Inc.,11630,FAI,10299,ANC,3
Empire Airlines Inc.,11695,FLG,12132,HII,3
Empire Airlines Inc.,11711,FMN,10140,ABQ,3
Empire Airlines Inc.,11762,FRD,10666,BLI,3
Empire Airlines Inc.,11775,FSD,14457,RAP,3
Empire Airlines Inc.,11884,GEG,11470,EAT,3
Empire Airlines Inc.,12003,GTF,13486,MSO,3
Empire Airlines Inc.,12018,GUP,10140,ABQ,3
Empire Airlines Inc.,12132,HII,13785,NYL,3
Empire Airlines Inc.,12173,HNL,12982,LIH,3
Empire Airlines Inc.,12184,HOM,10299,ANC,3
Empire Airlines Inc.,12278,ICT,10194,AFW,3
Empire Airlines Inc.,12280,IDA,14869,SLC,3
Empire Airlines Inc.,12402,ITO,12173,HNL,3
Empire Airlines Inc.,12896,LBB,10194,AFW,3
Empire Airlines Inc.,12956,LGD,14054,PDT,3
Empire Airlines Inc.,12982,LIH,12173,HNL,3
Empire Airlines Inc.,13024,LMT,14057,PDX,3
Empire Airlines Inc.,13127,LWS,11884,GEG,3
Empire Airlines Inc.,13158,MAF,12896,LBB,3
Empire Airlines Inc.,13264,MFR,13024,LMT,3
Empire Airlines Inc.,13486,MSO,12003,GTF,3
Empire Airlines Inc.,13540,MVW,14747,SEA,3
Empire Airlines Inc.,13546,MWH,11470,EAT,3
Empire Airlines Inc.,13785,NYL,13785,NYL,3
Empire Airlines Inc.,13890,ONP,11198,CVO,3
Empire Airlines Inc.,13891,ONT,14689,SBA,3
Empire Airlines Inc.,13964,OTH,11603,EUG,3
Empire Airlines Inc.,14054,PDT,11884,GEG,3
Empire Airlines Inc.,14057,PDX,13024,LMT,3
Empire Airlines Inc.,14107,PHX,11695,FLG,3
Empire Airlines Inc.,14252,PSC,11884,GEG,3
Empire Airlines Inc.,14457,RAP,11775,FSD,3
Empire Airlines Inc.,14467,RBG,11603,EUG,3
Empire Airlines Inc.,14489,RDM,11603,EUG,3
Empire Airlines Inc.,14689,SBA,13891,ONT,3
Empire Airlines Inc.,14747,SEA,10666,BLI,3
Empire Airlines Inc.,14869,SLC,12280,IDA,3
Empire Airlines Inc.,14871,SLE,14057,PDX,3
Empire Airlines Inc.,15370,TUL,10194,AFW,3
Empire Airlines Inc.,16101,YKM,11884,GEG,3
Miami Air International,10397,ATL,10599,BHM,3
Miami Air International,10540,BED,13342,MKE,3
Miami Air International,10599,BHM,10821,BWI,3
Miami Air International,10615,BIF,12951,LFT,3
Miami Air International,10693,BNA,12264,IAD,3
Miami Air International,10721,BOS,15249,TLH,3
Miami Air International,10868,CAE,12339,IND,3
Miami Air International,11057,CLT,11267,DAY,3
Miami Air International,11066,CMH,13303,MIA,3
Miami Air International,11259,DAL,10397,ATL,3
Miami Air International,11292,DEN,11433,DTW,3
Miami Air International,11423,DSM,11267,DAY,3
Miami Air International,11433,DTW,12451,JAX,3
Miami Air International,11618,EWR,10540,BED,3
